customer_id,order_id,Category,Dispatch Date,Delivered Date,Tracking Link,return_date,return_mode,return_reason,return_status,return_mode,refund_amount,AWB Number,Courier Partner,Tracking Link,Type of Return,Suborder Number Masked
5988,ORD00000,"Cups, Mugs & Saucers",18-03-2025,03-04-2025,https://www.valmo.in/track/VL0080665306269,2025-02-22,Pickup,Defective,Approved,Pickup,1947,VL0080665306269,PocketShip,https://www.valmo.in/track/VL0080665306269,Courier Return (RTO),13271048197797****
7524,ORD00001,"Cups, Mugs & Saucers",23-03-2025,02-04-2025,https://www.valmo.in/track/VL0080706588063,2024-10-14,Drop-off,Changed Mind,Pending,Drop-off,1945,VL0080706588063,PocketShip,https://www.valmo.in/track/VL0080706588063,Courier Return (RTO),13448578752882****
5085,ORD00002,"Cups, Mugs & Saucers",22-03-2025,02-04-2025,https://www.valmo.in/track/VL0080699520801,2024-05-18,Drop-off,Defective,Rejected,Drop-off,1410,VL0080699520801,PocketShip,https://www.valmo.in/track/VL0080699520801,Courier Return (RTO),13420892214401****
6479,ORD00003,"Cups, Mugs & Saucers",19-03-2025,02-04-2025,https://www.valmo.in/track/VL0080680001248,2024-10-09,Drop-off,Wrong Item,Approved,Drop-off,959,VL0080680001248,PocketShip,https://www.valmo.in/track/VL0080680001248,Courier Return (RTO),13319001667961****
2744,ORD00004,"Cups, Mugs & Saucers",24-03-2025,01-04-2025,https://www.valmo.in/track/VL0080720477659,2024-02-10,Pickup,Changed Mind,Approved,Pickup,1765,VL0080720477659,PocketShip,https://www.valmo.in/track/VL0080720477659,Courier Return (RTO),13487867935526****
5797,ORD00005,"Cups, Mugs & Saucers",15-03-2025,01-04-2025,https://www.valmo.in/track/VL0080639397860,2024-10-31,Drop-off,Changed Mind,Pending,Drop-off,1726,VL0080639397860,PocketShip,https://www.valmo.in/track/VL0080639397860,Courier Return (RTO),13139965872672****
4628,ORD00006,"Cups, Mugs & Saucers",13-03-2025,01-04-2025,https://www.valmo.in/track/VL0080633113663,2025-12-31,Pickup,Defective,Rejected,Pickup,1897,VL0080633113663,PocketShip,https://www.valmo.in/track/VL0080633113663,Courier Return (RTO),13088452033754****
4807,ORD00007,"Cups, Mugs & Saucers (Deleted)",04-03-2025,01-04-2025,https://www.valmo.in/track/VL0080571787325,2025-01-16,Drop-off,Changed Mind,Pending,Drop-off,407,VL0080571787325,PocketShip,https://www.valmo.in/track/VL0080571787325,Courier Return (RTO),12764317968489****
1681,ORD00008,Jars & Containers,16-01-2025,01-04-2025,https://meesho.portal.shipsy.io/track/result?refNum=M00824921216&searchBy=referenceNumber,2025-03-04,Pickup,Size Issue,Rejected,Pickup,1098,M00824921216,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00824921216&searchBy=referenceNumber,Courier Return (RTO),11079588657301****
1853,ORD00009,"Cups, Mugs & Saucers",18-03-2025,31-03-2025,https://www.valmo.in/track/VL0080665306194,2024-01-14,Pickup,Size Issue,Approved,Pickup,908,VL0080665306194,PocketShip,https://www.valmo.in/track/VL0080665306194,Courier Return (RTO),13273694750773****
7583,ORD00010,"Cups, Mugs & Saucers",16-03-2025,31-03-2025,https://www.valmo.in/track/VL0080651172108,2025-07-12,Drop-off,Changed Mind,Approved,Drop-off,897,VL0080651172108,PocketShip,https://www.valmo.in/track/VL0080651172108,Courier Return (RTO),13203334442706****
1119,ORD00011,"Cups, Mugs & Saucers",10-03-2025,31-03-2025,https://www.valmo.in/track/VL0080612860438,2024-04-25,Pickup,Wrong Item,Approved,Pickup,1062,VL0080612860438,PocketShip,https://www.valmo.in/track/VL0080612860438,Courier Return (RTO),12958346883741****
3492,ORD00012,"Cups, Mugs & Saucers",11-03-2025,31-03-2025,https://www.valmo.in/track/VL0080619033398,2026-02-16,Pickup,Size Issue,Pending,Pickup,448,VL0080619033398,PocketShip,https://www.valmo.in/track/VL0080619033398,Courier Return (RTO),12996219883477****
1306,ORD00013,"Cups, Mugs & Saucers",25-02-2025,31-03-2025,https://www.valmo.in/track/VL0080532648803,2024-01-25,Drop-off,Wrong Item,Pending,Drop-off,676,VL0080532648803,PocketShip,https://www.valmo.in/track/VL0080532648803,Courier Return (RTO),12525182948350****
2996,ORD00014,"Cups, Mugs & Saucers",15-03-2025,29-03-2025,https://meesho.portal.shipsy.io/track/result?refNum=M00927603798&searchBy=referenceNumber,2025-02-21,Pickup,Changed Mind,Rejected,Pickup,575,M00927603798,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00927603798&searchBy=referenceNumber,Courier Return (RTO),13132802156629****
9235,ORD00015,"Cups, Mugs & Saucers",16-03-2025,29-03-2025,https://www.valmo.in/track/VL0080651172116,2025-04-07,Pickup,Defective,Approved,Pickup,1083,VL0080651172116,PocketShip,https://www.valmo.in/track/VL0080651172116,Courier Return (RTO),13159865416739****
4803,ORD00016,"Cups, Mugs & Saucers",12-03-2025,29-03-2025,https://www.valmo.in/track/VL0080625903042,2024-11-27,Pickup,Defective,Approved,Pickup,820,VL0080625903042,PocketShip,https://www.valmo.in/track/VL0080625903042,Courier Return (RTO),13048013251524****
2181,ORD00017,"Cups, Mugs & Saucers",05-03-2025,29-03-2025,https://www.valmo.in/track/VL0080577373890,2025-03-26,Pickup,Wrong Item,Pending,Pickup,1201,VL0080577373890,PocketShip,https://www.valmo.in/track/VL0080577373890,Courier Return (RTO),12796303540606****
8353,ORD00018,"Cups, Mugs & Saucers",03-03-2025,29-03-2025,https://meesho.portal.shipsy.io/track/result?refNum=M00911749794&searchBy=referenceNumber,2025-11-13,Pickup,Changed Mind,Rejected,Pickup,380,M00911749794,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00911749794&searchBy=referenceNumber,Courier Return (RTO),12709361984923****
3479,ORD00019,"Cups, Mugs & Saucers",21-02-2025,29-03-2025,https://meesho.portal.shipsy.io/track/result?refNum=M00890058890&searchBy=referenceNumber,2025-01-22,Drop-off,Changed Mind,Approved,Drop-off,187,M00890058890,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00890058890&searchBy=referenceNumber,Courier Return (RTO),12366049056843****
1784,ORD00020,"Cups, Mugs & Saucers",12-03-2025,28-03-2025,https://www.valmo.in/track/VL0080625903045,2026-02-23,Pickup,Wrong Item,Rejected,Pickup,1620,VL0080625903045,PocketShip,https://www.valmo.in/track/VL0080625903045,Courier Return (RTO),13062983482114****
7570,ORD00021,"Cups, Mugs & Saucers",05-03-2025,28-03-2025,https://www.valmo.in/track/VL0080577373903,2025-12-21,Drop-off,Wrong Item,Pending,Drop-off,1347,VL0080577373903,PocketShip,https://www.valmo.in/track/VL0080577373903,Courier Return (RTO),12795829630825****
1577,ORD00022,Graters & Slicers,06-03-2025,28-03-2025,https://www.valmo.in/track/VL0080583715807,2024-04-05,Pickup,Changed Mind,Rejected,Pickup,1938,VL0080583715807,PocketShip,https://www.valmo.in/track/VL0080583715807,Courier Return (RTO),12840018860700****
3935,ORD00023,"Cups, Mugs & Saucers",18-03-2025,27-03-2025,https://meesho.portal.shipsy.io/track/result?refNum=M00932392961&searchBy=referenceNumber,2025-03-16,Pickup,Changed Mind,Pending,Pickup,772,M00932392961,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00932392961&searchBy=referenceNumber,Courier Return (RTO),13276755141617****
6343,ORD00024,"Cups, Mugs & Saucers",08-03-2025,27-03-2025,https://www.valmo.in/track/VL0080599371248,2024-10-05,Drop-off,Size Issue,Rejected,Drop-off,801,VL0080599371248,PocketShip,https://www.valmo.in/track/VL0080599371248,Courier Return (RTO),12926433062558****
9084,ORD00025,"Cups, Mugs & Saucers",13-03-2025,27-03-2025,https://www.valmo.in/track/VL0080633113662,2024-11-02,Pickup,Wrong Item,Pending,Pickup,1557,VL0080633113662,PocketShip,https://www.valmo.in/track/VL0080633113662,Courier Return (RTO),13099517112631****
6530,ORD00026,"Cups, Mugs & Saucers",12-03-2025,27-03-2025,https://meesho.portal.shipsy.io/track/result?refNum=M00925502051&searchBy=referenceNumber,2026-01-18,Pickup,Size Issue,Approved,Pickup,721,M00925502051,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00925502051&searchBy=referenceNumber,Courier Return (RTO),13058716605654****
1956,ORD00027,"Cups, Mugs & Saucers",05-03-2025,27-03-2025,https://www.valmo.in/track/VL0080577373889,2025-02-15,Drop-off,Wrong Item,Approved,Drop-off,970,VL0080577373889,PocketShip,https://www.valmo.in/track/VL0080577373889,Courier Return (RTO),12800981036099****
8712,ORD00028,"Cups, Mugs & Saucers",05-03-2025,27-03-2025,https://www.valmo.in/track/VL0080577373935,2025-07-04,Drop-off,Changed Mind,Rejected,Drop-off,1440,VL0080577373935,PocketShip,https://www.valmo.in/track/VL0080577373935,Courier Return (RTO),12803316318342****
5331,ORD00029,"Cups, Mugs & Saucers",25-02-2025,27-03-2025,https://www.valmo.in/track/VL0080532648722,2025-10-04,Pickup,Size Issue,Approved,Pickup,1727,VL0080532648722,PocketShip,https://www.valmo.in/track/VL0080532648722,Courier Return (RTO),12511745572627****
8892,ORD00030,"Cups, Mugs & Saucers",12-03-2025,25-03-2025,https://www.valmo.in/track/VL0080625903035,2024-12-08,Drop-off,Changed Mind,Pending,Drop-off,1279,VL0080625903035,PocketShip,https://www.valmo.in/track/VL0080625903035,Courier Return (RTO),13028508251043****
2974,ORD00031,"Cups, Mugs & Saucers",06-03-2025,25-03-2025,https://www.valmo.in/track/VL0080583715827,2025-10-19,Pickup,Wrong Item,Pending,Pickup,619,VL0080583715827,PocketShip,https://www.valmo.in/track/VL0080583715827,Courier Return (RTO),12850158809232****
3924,ORD00032,"Cups, Mugs & Saucers",05-03-2025,25-03-2025,https://meesho.portal.shipsy.io/track/result?refNum=M00915303128&searchBy=referenceNumber,2024-01-16,Drop-off,Changed Mind,Pending,Drop-off,1198,M00915303128,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00915303128&searchBy=referenceNumber,Courier Return (RTO),12805408538665****
7844,ORD00033,"Cups, Mugs & Saucers",12-03-2025,24-03-2025,https://www.valmo.in/track/VL0080625903058,2024-05-27,Pickup,Wrong Item,Rejected,Pickup,1041,VL0080625903058,PocketShip,https://www.valmo.in/track/VL0080625903058,Courier Return (RTO),13028582532936****
9148,ORD00034,"Cups, Mugs & Saucers",05-03-2025,24-03-2025,https://www.valmo.in/track/VL0080571787277,2025-02-22,Drop-off,Changed Mind,Rejected,Drop-off,1722,VL0080571787277,PocketShip,https://www.valmo.in/track/VL0080571787277,Courier Return (RTO),12779999485397****
6850,ORD00035,"Cups, Mugs & Saucers",06-03-2025,24-03-2025,https://www.valmo.in/track/VL0080583715803,2024-01-26,Pickup,Changed Mind,Pending,Pickup,104,VL0080583715803,PocketShip,https://www.valmo.in/track/VL0080583715803,Courier Return (RTO),12843794341222****
4538,ORD00036,"Cups, Mugs & Saucers",12-03-2025,23-03-2025,https://meesho.portal.shipsy.io/track/result?refNum=M00925502046&searchBy=referenceNumber,2025-08-28,Drop-off,Changed Mind,Rejected,Drop-off,795,M00925502046,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00925502046&searchBy=referenceNumber,Courier Return (RTO),13031707693328****
1575,ORD00037,"Cups, Mugs & Saucers",11-03-2025,23-03-2025,https://www.valmo.in/track/VL0080619033470,2025-12-03,Pickup,Changed Mind,Rejected,Pickup,1705,VL0080619033470,PocketShip,https://www.valmo.in/track/VL0080619033470,Courier Return (RTO),13014803855617****
5637,ORD00038,"Cups, Mugs & Saucers",11-03-2025,23-03-2025,https://www.valmo.in/track/VL0080619033413,2025-06-15,Pickup,Changed Mind,Rejected,Pickup,1714,VL0080619033413,PocketShip,https://www.valmo.in/track/VL0080619033413,Courier Return (RTO),12977761369463****
